0.01,0.03,0.05,0.1,0.3,0.5,1.0,3.0,5.0,10.0
Reference,-1.8772246560407837,-1.8772246560407837,-1.8772246560407837,-1.8772246560407837,-1.8772246560407837,-1.8772246560407837,-1.8772246560407837,-1.8772246560407837,-1.8772246560407837,-1.8772246560407837
ERM,-47.10053288845165,-4086.248638212595,-451.11045445556994,-319.26032818935465,-919.4935139353432,-3328.333188622423,-2764.935246184663,-5971.709118779529,-12323.261753811039,-19657.381186227667
"$\theta$=0.5, $\beta$=0.5",-2.859009364237314,-10.497085520711842,-8.710290195741862,nan,-188.0681752866238,-87.78813363742577,-243.08798535645937,-672.4351807445083,nan,-2850.4160455704405
"$\theta$=0.6, $\beta$=0.5",-18.168718586059498,-73.59150393814481,-87.00969830156585,-179.5655100246883,-1544.8550559757068,-958.9531600922196,nan,-5064.695620416017,-12095.752002651352,-19334.76352651951
"$\theta$=0.7, $\beta$=0.5",-37.97690925802087,-145.05587738045077,-190.00006546614281,-334.9255346372837,-3491.0262085151444,-1685.4661627101207,-3814.5770921602207,-9533.859537336297,-11130.389365679888,nan
"$\theta$=0.8, $\beta$=0.5",-58.972285755141144,-387.3305144080061,-270.8001182412384,-569.7747100355266,-5512.664589817504,-2750.778602916952,-5219.133405117588,-7549.068000851662,-15137.569416278893,-22491.318110860448
"$\theta$=0.9, $\beta$=0.5",-88.20049575721602,-497.41707424805657,nan,-808.3686524113708,nan,-4558.294514155818,-6412.353965556008,-13899.982219062395,nan,nan
