0.01,0.05,0.1,1.0,3.0,5.0,10.0
Reference,-1.8772246560407837,-1.8772246560407837,-1.8772246560407837,-1.8772246560407837,-1.8772246560407837,-1.8772246560407837,-1.8772246560407837
ERM,-47.78787239210214,-245.3393061533826,-181.64711385570075,-4287.888372506359,-5971.704445104535,-17600.3584920727,-9921.131955632063
"$\theta$=0.5, $\beta$=0.5",-2.926481167277777,-9.163931567667689,-16.51633620346981,-184.5116264315416,nan,-900.8494941327383,-1739.069537613833
"$\theta$=0.6, $\beta$=0.5",-18.55715801459198,-89.45321457800563,-173.72722212847302,-1683.7375244855577,-9192.30629796118,-6688.989367036981,nan
"$\theta$=0.7, $\beta$=0.5",-37.08111246119324,-189.25148386768953,-379.3620488711463,-3752.226284512332,-8590.479972979778,-15602.846065926315,-24318.510411508214
"$\theta$=0.8, $\beta$=0.5",-55.56620219078501,-296.5959654756506,-551.4025280900903,-4756.161765746895,-16335.671452699216,-18930.230465864497,nan
"$\theta$=0.9, $\beta$=0.5",nan,-458.9090728013112,-895.6306941327784,-8978.87993617985,-17744.657308185197,-16449.223743113635,-46445.25330320903
